Brand Mention?,userpost,match type,brand
0,"RT @CrucialMemory: Brrr...maybe a giveaway will warm things up? ""Like"" to enter to WIN any 32GB RAM kit up to US$500 (Deadline Sunday  US/Cƒ",vague,ram
0,BRB. I need to ram my head against the wall. #HousingForAll #ModernizeARO,vague,ram
0,http://t.co/DpVCSb382a MUahahaha I am a little yellow Minion XDXDXDXXDXD Disney Goat Ram of all evil doings+mosantos+McDonalnds OCHEM FTW,vague,ram
1,Check it out: This is your chance at a new RAM 1500 or hundreds of instant prizes from @BoschToolsNA &amp; @RamTrucks.  http://t.co/DCy74jjOWa,vague,ram
1,Check it out: This is your chance at a new RAM 1500 or hundreds of instant prizes from @BoschToolsNA &amp; @RamTrucks.  http://t.co/BH6VtvxPWp,vague,ram
0,I wanna ram my fist into my life and see if it gets knocked unconscious. Maybe then i'll be ok.,vague,ram
1,RT @chadkirchner: My week with the Ram Trucks 3500 dually is over. Here's some stats:  Miles Driven: A lot. ƒ https://t.co/NF5Y0qVejk httpsƒ,vague,ram
0,RT @witchergame: Minimum: Intel i5-2500K 3.3GHz AMD Phenom II X4 940 GeForce GTX 660 Radeon HD 7870 RAM 6GB 64-bit Win 7/Win 8(8.1) DX11 HDƒ,vague,ram
0,Don't worry about people stealing an idea. If it's original  you'll have to ram it down their throats. -Howard Aiken http://t.co/Umay8pNshd,vague,ram
0,It really is amazing what a RAM upgrade can do for a computer #Geek,vague,ram
1,@ColleenScrivs Product placement gives a level of authenticity House Dodge Ram is undervalued &amp; they did pay for the quidditch Dodge Stadium,vague,ram
1,Check it out: This is your chance at a new RAM 1500 or hundreds of instant prizes from @BoschToolsNA &amp; @RamTrucks.  http://t.co/Fhf8uY7c9H,vague,ram
0,"The ""Hillbilly"" burger at the RAM.  Mmmm",vague,ram
1,Check it out: This is your chance at a new RAM 1500 or hundreds of instant prizes from @BoschToolsNA &amp; @RamTrucks.  http://t.co/qQtOES01Ks,vague,ram
0,Girls & coach kev :),vague,coach
0,@jkubs1209 did you ask him why he still cares if a coach is 3-4 or 4-3 since they don't play either most plays ?,vague,coach
0,This is why I love #TeamWAG and my coach @flacaperofuerte (Ivette). She always has my back and now I'm so happy and filled with pride I'm crying. Such a long journey but it has been so worth it.    45# down  1.5# to 69kg for my july meet and I KNOW I'll get there easily.  Next stop Ab city!,vague,coach
0,Lindy's going down the Coach For A Shitty Team Checklist¬ item by item https://t.co/J699Ks34MA,vague,coach
0,RT @sports___alerts: San Antonio Spurs Head Coach Greg Popovich says Kawhi Leonard is the best player in the league https://t.co/d8LvXR7kmj,vague,coach
0,"Jaguars' Marcedes Lewis -- DON'T BLAME OUR COACH ... We Need to Play Better (VIDEO): [[tmz:video id=""0_au6b4m... https://t.co/K1Nd5W9d9b",vague,coach
0,If I had a @weightwatchers coach  IÍd ask about creating healthier recipies and portions http://t.co/NTPwZhKXj4 #wwsociety #sponsored,vague,coach
0,Davis Webb preparing to coach once heÍs through with his playing career https://t.co/VrMBfxm59o | Profootballtalk | #panthers,vague,coach
0,RT @Coach: Mickey Mouse meets the turnlock. #DisneyxCoach available 6.17.16 https://t.co/H8PNh4Bfp0,vague,coach
1,Enter to #win a #COACH Leather Handbag from @ShopGrandCanal &amp; @ShopAmericaClub! https://t.co/GPYYoXOZRa #giveaway #sweepstakes,vague,coach
0,Show Coach your furry fandom! Tag a pic or video with #BeTheFan of your pet in #cfb fan gear. Rules: http://t.co/8yUONSBJ2M #ATTCrowd #ad,vague,coach
0,Ducks running backs coach  on Royce Freeman  the heralded freshman from California (video) http://t.co/b5gLKOFWHe via @oregonian,vague,coach
0,One (1) Grand Prize is available to be won of a trip for two (2)  winner and one (1) guest  to the winnerÍs choice of one of the following Idea Houses: Southern Living- Bald Head Island (available June 1  2017 to Nov 4  2017)  NC  Coastal Living- Newport  RI (available July 1  2017 to September 3  2017) or Sunset- Palm Springs  CA (available October 6  2017 to November 26  2017). Grand Prize trip includes: Round-trip coach airfare for two (2)  from a major airport nearest winnerÍs residence  as determined by the Sponsor. Two (2) nights double occupancy hotel accommodations  as determined by the Sponsor. Tickets to the Idea House. The ARV of Grand Prize: $2 000.00. The total ARV of all prizes to be awarded is: $2 000.00. official rules  |  Open to residents of the 48 contiguous United States & D.C. 21+ expires  Monday  May 15  2017,vague,coach
0,Coach K on first take,vague,coach
0,RT @MarshallLawyers: The Lawyer Nation sends their condolences to Rhodes  on the passing of Coach Gary...,vague,coach
0,Another celebrity job! Spent the day filming in Green Bay with Packer TJ Lang & Coach Mike McCarthy. (Karen Edmunds Eisentraut please show this to Jeff so he can cry.),vague,coach
0,"""You're Dad was the Football coach and I was the Cheering coach  we fell in love..."" Wait my parents came out of a movie",vague,coach
0,RT @espnW: Like a boss.  @dawnstaley is the only woman to be named Final Four MOP and coach a team to a national title. #WFinalFour #Foreveƒ,vague,coach
0,Think its Tom Bradley or Tim Hermann as new DC. Levar Woods as new DL. And Brian Ferentz leaves Pats for position coach on offense.,vague,coach
1,GIVEAWAY - HOT COACH Giveaway - Enter to WIN NOW - @adventuresof8 http://t.co/X4mgU63a,vague,coach
1,@GurlDotCom #dovegurl love Dove!!!  Thank you!,vague,dove
1,@Dove #trydry,vague,dove
1,Dove Purely Pampering Body Wash  Almond ... Reply w/ #AmazonWishList to add this http://t.co/2zvMw9iOVc via @amazon,vague,dove
1,RT @Dove: Inspire other women to embrace the beauty of their unique hair_share a photo &amp; tell us why you #LoveYourHair. https://t.co/VRCJAZƒ,vague,dove
1,So if you missed out on my Dove Chocolate Discoveries party  no worries. I'm so excited to tell you that I'm now a Dove Chocolate Discoveries Independent Chocolatier! Get ready for life to get yummier. (Yes  I'm still doing Jamberry  and yes I'm a part time nanny.),vague,dove
1,#dovechatpack #sponsored I am excited to try dove  It better than these bad brands... https://t.co/h5FokYEcS6,vague,dove
1,Get in on the action! Dove Advanced Care @Walmart  #dove48hour #contest @Influenster.,vague,dove
1,RT @Dove: Make way for spray. RT &amp; you can instantly WIN a prize! #Entry 18+NoPurNec12/1-30 http://t.co/UcKy7fDCSB #TryDry http://t.co/Gidwƒ,vague,dove
1,Dove is the best! https://t.co/Jjg0PIeWPk,vague,dove
0,Dove :),vague,dove
1,Possible Housparty alert. Dove Advanced Care Antiperspirant Chatterbox Photos &amp; Videos: https://t.co/axiD5J4ryT,vague,dove
1,I applied to be a Chatterbox for Dove Advanced Care Anti-perspirant! #DoveChatPack #Sponsored: https://t.co/rH1n0Wq4uO,vague,dove
1,Check out my photo of Dove DermaCare Scalp 2in1: https://t.co/85UVS50mjc. I tried it free (or with a discount). https://t.co/FECd9pM7eY,vague,dove
1,Save $1.50 on Any Two Dove Products at Walmart http://t.co/fKLdgAdD via @WomanFreebiesUS,vague,dove
1,sponsored http://t.co/pnHIA1v1Ql Do you think that Dove's recent viral video empower women or patronize them?#Patronizing #DoveViralVideo,vague,dove
1,RT @Glambr: My favorite body wash! RT @cammi72: @Glambr hub also uses my body wash from @Dove! #mantenance http://t.co/ksc1gi2dNw,vague,dove
1,@Dove @shondarhimes love this idea,vague,dove
1,Try dove therapy shampoo,vague,dove
1,RT @Dove: Have a body? At the beach? Then you have a beach body!  RT &amp; spread positivity this summer. #SpeakBeautiful https://t.co/jUZZd6k0ƒ,vague,dove
0,Olivia's first experience hand on with snow as last year was too bitter cold and she was too small.  She dove into a pint size snow bank #thatsmygirl,vague,dove
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a 40th Anniversary: A New Hope box from Smuggler's Bounty! https://t.coƒ,vague,bounty
0,Bring in the Bounty and #win an #iPadMini with an @Earth_Balance interactive cookbook preloaded on it! http://t.co/woU5bLHRvQ #earthbalance,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a 40th Anniversary: A New Hope box from Smuggler's Bounty! https://t.coƒ,vague,bounty
0,RT @Elreynetwork: Today's the day to get Booned! Johnny Mundo from #LuchaUnderground stars in BOONE THE BOUNTY HUNTER! AVAILABLE NOW on Amaƒ,vague,bounty
0,Retweeted Funko (@OriginalFunko):  RT &amp; follow @OriginalFunko for the chance to win a BOUNTY HUNTERS box!... https://t.co/zNeF33sDEg,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Death Star box from Smuggler's Bounty! https://t.co/B6gsqMOikp https:ƒ,vague,bounty
1,Enter to Win Bounty Select-a-Size Paper Towels - Ends September 15th at Midnight https://t.co/ENV51UFdd9,vague,bounty
0,TV will wait till things die down  then bring her back  like Dog  the Bounty Hunter...smh,vague,bounty
1,RT @Smiley360: @NicoleFigiel's giving her everyday some extra oomph! Tide  Bounty  Mr. Clean  Downy... what's your favorite P&amp;G product? #Dƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Star Wars Rebels box from Smuggler's Bounty! https://t.co/B6gsqN5TIZƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a Jabba's Palace box from Smuggler's Bounty! https://t.co/B6gsqMOikp httpƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a Jabba Pop! Also check out Smuggler's Bounty! http://t.co/mRVeWGeGrZ httƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Death Star box from Smuggler's Bounty! https://t.co/B6gsqMOikp https:ƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a 40th Anniversary: A New Hope box from Smuggler's Bounty! https://t.coƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Star Wars Rebels box from Smuggler's Bounty! https://t.co/WUTddcNW0Iƒ,vague,bounty
0,Junkyard Dog the Bounty Hunter @midnight #WrestlingTVShows,vague,bounty
1,Hey @MarriedCoupons I'd love to win Bounty Paper Towel and help spread the word about http://t.co/tSOT84Ar #Giveaway http://t.co/mtGk3mEZ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a Jabba's Palace box from Smuggler's Bounty! https://t.co/B6gsqMOikp httpƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to win a Jabba's Palace box from Smuggler's Bounty! https://t.co/B6gsqMOikp httpƒ,vague,bounty
0,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a 40th Anniversary: A New Hope box from Smuggler's Bounty! https://t.coƒ,vague,bounty
1,WIN a $100 Shell Gift Card http://t.co/qlAWYujAz8,vague,shell
0,RT @Emeril: Have you had the Soft Shell Crab Poboy at Jazz Fest? Killer. #JazzFest #Nola https://t.co/8OT0XnhfIh,vague,shell
1,I just checked in at Shell Oil with #mPLACES  Download today!  http://t.co/tAYs0WclC4,vague,shell
1,WIN a $50 Shell Gift Card https://t.co/nrhYS5NpDb,vague,shell
1,I just checked in at Shell Oil with #mPLUSPlaces Download today!  https://t.co/vSJP9IaJ6K,vague,shell
1,RT @guardianworld: Shell may be held liable for oil spills in Nigeria https://t.co/rCjsQT4jaY,vague,shell
1,WIN a $50 Shell Gift Card http://t.co/fu2FQEtaOC,vague,shell
1,I just entered to WIN SHELL FUEL FOR A YEAR. Click here to learn more.  http://t.co/6qfJJw4,vague,shell
1,WIN a $50 Shell Gift Card http://t.co/v3uCsvWQL7,vague,shell
0,Phenomenal meal at Homestead tonight.  Highlights included corn meal fried soft shell crab with pickled green tomato and ramps  morels and trumpets with sweet peas over gnocchi  wood oven fired pork roast with ramps and early nectarines all accompanied with a Pinot from our cellar.  Gotta love the no tip policy as even the line cooks can make a living wage!  Makes me want to go work in a restaurant...kinda.,vague,shell
0,I wish I were a turtle. Then I could curl up in my shell and go to sleep whenever I wanted.,vague,shell
1,I just checked in at Shell Oil with #mPLACES  Download today!  http://t.co/lIMgKunxMD,vague,shell
1,#aaronreckgiveaway @areck0001 wants to help me plan my road trip by providing 1 lucky winner a 100 shell gas card! https://t.co/htgIATexYn,vague,shell
1,I just checked in at Shell Oil with #mPLUSPlaces Download today!  https://t.co/wySf00iXhA,vague,shell
1,WIN a $50 Shell Gift Card http://t.co/DUeBxl2PP6,vague,shell
0,Who is this beautiful girl with these cool sun glasses on ....aunt shell heaven my baby,vague,shell
1,I just entered to WIN SHELL FUEL FOR A YEAR. Click here to learn more. http://t.co/yMtcGhY,vague,shell
0,Sign the petition: Tell Congress to end anonymous shell companies https://t.co/RFuIRBFWhn via @CREDOMobile #p2 #PanamaPapers,vague,shell
0,Someone is enjoying her valentine from Aunt Shell and Uncle Dave!,vague,shell
1,WIN a $200 Shell Gift Card http://t.co/9gGmdl8sON,vague,shell
1,RT @CARandDRIVER: FOR SALE: this '98 Honda Accord perfect for long commutes + Mad Max roleplay. http://t.co/pksFjtQOH6 http://t.co/yTsMtsk8ƒ,vague,honda
1,@Honda great,vague,honda
1,@Honda Thank you so much for the win last Night! I Was so excited I forgot to say TY4$20 YAY ____,vague,honda
1,RT @Honda: RT for a shot at a __! Win or lose  weÍll give $1 to @PBTF (up to $100k) #OpenTheCheer Rules:https://t.co/T6O2RXBZtZæhttps://t.coƒ,vague,honda
1,RT @Honda: Treat yourself to a new 2016 CR-V or HR-V this holiday season. #HappyHondaDays https://t.co/Bjza3hhMWh,vague,honda
0,The greatest runner at honda warehouse: http://t.co/GUaF9k3AwF via @YouTube,vague,honda
1,RT @Honda: Honda R&amp;D has entered into discussions with Waymo to integrate self-driving technology. Check it out: https://t.co/fbOKEH19R2. hƒ,vague,honda
1,RT @Honda: RT for a shot at a car  gadget or gift card AND weÍll give $1 to @PBTF! #OpenTheCheer Rules:https://t.co/T6O2RXBZtZæhttps://t.coƒ,vague,honda
1,RT @robdelaney: I hate people who drive Land Rovers &amp; don't fucking rove land. Get a Honda  you fat lawyer.,vague,honda
1,RT @Honda: RT for a shot at a car  gadget or gift card AND weÍll give $1 to @PBTF! #OpenTheCheer Rules:https://t.co/T6O2RXBZtZæhttps://t.coƒ,vague,honda
1,RT @Honda: Could you win a new Honda? RT for a chance and weÍll give $1 to @PBTF! #OpentheCheer Rules: https://t.co/T6O2RXBZtZæhttps://t.coƒ,vague,honda
1,Woo hoo I won 20$ go to @honda on Twitter and re-tweet their tweet every day for ur chance to win :),vague,honda
1,RT @Resa_Two: @Trumpsapuppet1 @sharonclues @20committee HEY EVERYBODY....Party @ Billie's....I've got a Honda Pilot  seats 8...who needs aƒ,vague,honda
1,RT @HawaiiMBB: #HawaiiMBB and No. 4 seed LBSU will meet in the BW Tournament quarterfinals next Thursday at the Honda Center in Anaheim. #Gƒ,vague,honda
1,Rachel went into boardwalk Honda but she rolled the windows up im gonna die like those heat babies on the news,vague,honda
1,I entered the #4momsRoadTrip #Sweeps  now itÍs your turn. Win a 2016 @Honda Pilot &amp; awesome @4moms gear! https://t.co/5AYi53iOTb,vague,honda
1,RT @Honda: Get every update on the all-new HR-V Crossover before you can even get behind the wheel. https://t.co/Cla1zwlDSw,vague,honda
1,My new ride. 2012 Honda Pilot!,vague,honda
1,Big West Basketball Tournament: Men's Quarterfinals - Honda Center Thu  Mar 10  2016 https://t.co/i00XRix4Dl #Ticketmaster #GoWarriors,vague,honda
1,RT @edmunds: Find out if your @Honda is on the updated list of #Takata airbag recalls http://t.co/Bj7p5Rqhnt http://t.co/xU0PfaFk3t,vague,honda
0,I liked a @YouTube video https://t.co/0zZJ2lhoCe Christopher Lee Reads Dracula,vague,lee
0,RT @allkpop: Get ready for Lee Hi's comeback! https://t.co/0z10rZb15v https://t.co/ozpedl3Wwq,vague,lee
0,@BobKlap You think Braunecker might be conveying the Yankee proposal to Lee  and that's why he left?,vague,lee
0,Wow  that sux...Drexel's Lee out for Season with Torn ACL (via http://t.co/tlChdz9154) http://t.co/P6hkTfTKHJ,vague,lee
0,RT @BreakingNews: 'To Kill a Mockingbird' author Harper Lee dies at age 89  according to multiple sources - https://t.co/WpCtYYxcCu https:/ƒ,vague,lee
0,Help me welcome the newest member of our United inflight family Heidi Lee! Welcome to The Friendly Skies! Let's meet in Shanghai! Foot massage is on me!,vague,lee
0,Over The Threshold by Jim Lee https://t.co/GDbCVRyBD1 via @wordpressdotcom,vague,lee
0,This is creepy and awesome at the same time. Thanks Keturah Lee Whitfield lol,vague,lee
0,RT @Factsionary: The Incredible HulkÍs green skin color was originally a result of printing error (he was originally grey) that Stan Lee liƒ,vague,lee
0,RT @BipolarHotMess: Do not allow negative thoughts to enter your mind for they are the weeds that strangle confidence. _ Bruce Lee #quote,vague,lee
0,Kathie Lee &amp; Hoda are tapped in - are you? http://t.co/FsgH6uJblh #crowdtappers,vague,lee
0,RT @Madi2theMax: Take a break from the angst - watch this Beauty and Stan Lee parody video and SMILE! Think happy nerd thoughts. https://t.ƒ,vague,lee
0,Love Lee!! Makes my mornings awesome!!,vague,lee
0,today is like what we all always expect trade deadline day to be like  then Lee Stempniak gets traded for a 4th,vague,lee
0,Enter to win a Ted Baker Portmeirion Rosie Lee 5 Piece Dinner Set from @Portmeiriongrp https://t.co/GMm1LYxbjk,vague,lee
0,A parade that was going on on Lee and Harvard today as I was going down to Pam house,vague,lee
0,Exhausting is okay. It means you're in the game. You're on the way up and you're not on the way down. - Lee Rosen #quote,vague,lee
0,"Drita an Lee are  like ""we ride"" by mary j. ____ #maryjblige #MobWives",vague,lee
0,Where my car guys at?!!? Wil Galvez Jr. Benjamin Freedman David Lee Baribeau :),vague,lee
0,William Lee Golden-I Wish You Could Have Turned My Head (And Left My Heart Alone) (live),vague,lee
1,This guy gives graffiti a good name! Watch this awesome Sprite video at https://t.co/UyshgVn3Re.,vague,sprite
1,I'd like a sprite.,vague,sprite
1,Hook me up @Sprite &amp; @MyFamilyDollar with that #Laptop! Check out prizes@ http://t.co/ldIzginrSu #LBJFavoriteThingsSweeps,vague,sprite
1,If U Drink Coke Products i.e. DietCoke  Sprite  POWERADE etc. PLZ DM me the MyCokeRewards codes from the cap or box lid. Thnx 4 UR Help!!,vague,sprite
1,If U Drink #Coke  #CherryCoke  #Sprite  Root Beer  #Mr.Pibb or #Dasani & Don't Use The MyCokeRewards Codes. PLZ DM & Send Em 2 Me. Thnx All,vague,sprite
1,I'm Begging 4 Any UnUsed #MyCokeRewards Codes From Any #CocaCola Product Caps/12 Pack lids Like Sprite  #dietcoke. PLZ Send Em 2 Me. Thanks,vague,sprite
1,RT @DrakeReact: Sprite is releasing cans with Drake lyrics __ http://t.co/NMztJkn8iF,vague,sprite
1,Grab a Sprite at Family Dollar and enter for a chance to meet LeBron James! NoPurchNec https://t.co/odC5GmpcvD,vague,sprite
1,Wow! I just won this for free  FREE Sprite Zero 20 oz coupon http://t.co/ERtkwMhO #listia,vague,sprite
1,You could win $100 000 from @Sprite and @PopeyesChicken! Plus  play for 1 of 8 $10 000 Grand Prizes &amp; more! Enter: https://t.co/EXTPyXUfJn,vague,sprite
1,Over 1 000 will win cash prizes  1 could win $100 000! Enter Popeyes &amp; Sprite 100 Grand In Your Hand now! https://t.co/r0huMl7EKR,vague,sprite
1,I just answered the question below with the following response: 'I try not to order Sprite  because I definitely will have a problem. Also spicy foods and lots of ice in my drinks are avoided  as they are triggers for me. I like salads and steak though  those foods work fine for me.',vague,sprite
1,See how Vince Staples keeps the spirit of the neighborhood alive at the Sprite Corner. #SpriteCorneronMCR https://t.co/F0a0enxMx4,vague,sprite
1,I could easily spend $2 on a mcDouble and a small order of fries! Along with a large Sprite! #sponsored #McDPartners,vague,sprite
1,You could win $100 000 from @Sprite and @PopeyesChicken! Plus  play for 1 of 8 $10 000 Grand Prizes &amp; more! Enter: https://t.co/v0XTx3W1yb,vague,sprite
1,Lil Yatchy is on a Sprite commercial and I'm facing these bum battle rappers online -_- I'm not doing something right,vague,sprite
1,Any way you cut it  Sprite lemon is the best. Make your voice heard at https://t.co/VU6gswQHrz #SpriteLemon,vague,sprite
1,Grab a Sprite at Family Dollar and enter for a chance to meet LeBron James! NoPurchNec https://t.co/phunqAUXRB,vague,sprite
1,ñItÍs confusing.î @GinaGrad on the gang watching @DawsAngeles our Sprite into his cup. All was right again when a @Mangria bottle showed up.,vague,sprite
1,Hook me up @Sprite &amp; @MyFamilyDollar with that #Laptop! Check out prizes@ http://t.co/zgLQE5cUO4 #LBJFavoriteThingsSweeps,vague,sprite
0,Enter to win a spa resort vacation from @SundownNaturals. No pur nec. Ends 7/15. 50 US &amp; DC. 18+. For... https://t.co/P7J681MxcK,vague,pur
0,Enter for chance to win a 2014 Chevy SS &amp; a year's mortgage payment.  No pur nec ends 11/17/14 18+ http://t.co/0Oo83NfqzX,vague,pur
0,Play the Merry Match game for a chance to win jewelry from @KayJewelers! No pur nec. Ends 12/20/15. 18+. Rules: https://t.co/HyegVWQhJG,vague,pur
0,Play the Merry Match game for a chance to win jewelry from @KayJewelers! No pur nec. Ends 12/20/15. 18+. Rules: https://t.co/WJXaXUgq3d,vague,pur
0,Enter for a chance to #win a trip to @TheCoveAtlantis! No pur nec 18+ 50 U.S.  D.C. &amp; Ca https://t.co/bi5vlKjpqn,vague,pur
1,RT @ThePURCompany: __ Get Lucky on #StPatricksDay Follow Us &amp; RT to #win a tray of PUR Spearmint! #Giveaway (US &amp; CAN) https://t.co/YX8ialsPƒ,vague,pur
0,Enter #jamNOCELEB Sweeps for a chance to win Bluetooth headphones or earbuds! No Pur Nec 18+ Ends 12/23 @JamSpeaker http://t.co/5BVgqjmD9K,vague,pur
0,Play the Merry Match game for a chance to win jewelry from @KayJewelers! No pur nec. Ends 12/19/16. 18+. https://t.co/7M7mpLn1Wy,vague,pur
0,Enter for chance to win a 2014 Chevy SS &amp; a year's mortgage payment.  No pur nec ends 11/17/14 18+ http://t.co/0Oo83NfqzX,vague,pur
0,I entered the Quicken Loans Drive Home A Winner Sweepstakes for a chance to win and you can too! No pur nec  18+ http://t.co/FfhnHOPyt0,vague,pur
0,Discover new #POWERADE Elevated Flavors  and enter for a chance to meet LeBron James! No Pur Nec. Ends 7/31. Visit http://t.co/TYKflv2oY8,vague,pur
0,Alex proudly shows off the first vegitables he helped grow at our house.  Its just a small start  but our plants show a decent amount to come for pur small balcony garden.  I love that Alex enjoys gardening with Grandpa Fuzzy and Mommy.,vague,pur
0,I entered to win in @FirestoneTire's #DestinationCountry #Sweeps. Enter now at http://t.co/P49VpfWqQg. No pur nec 18+ http://t.co/jK3sJLu9J4,vague,pur
0,Celebrate Mother's Day with @ThatsJared and enter for a chance to win! No pur nec. Ends 5/3/15. 18+ https://t.co/NHjCo2vQX9,vague,pur
0,RT @DWAnimation: Enter Mom Brands' Awesome Adventure sweeps for a chance to win a Cruise! No Pur. Nec. Ends 5/31/16 13+ US/DC. https://t.coƒ,vague,pur
0,I entered the Rare Carat Blue Nile Giveaway! Enter too and I get a bonus entry! No pur nec. 18+. Ends 4/2. Go to: https://t.co/hsZmPyacbn,vague,pur
0,Enter for a chance to win a trip to Super Bowl XLIX. No pur nec 18+ end 12/31/14 http://t.co/JCbbKo7qEO #LetsGetLoud #promo via @Bridgestone,vague,pur
0,Enter #jamNOCELEB Sweeps for a chance to win Bluetooth headphones or earbuds! No Pur Nec 18+ Ends 12/23 @JamSpeaker https://t.co/wXla653W1s,vague,pur
0,Enter #jamNOCELEB Sweeps for a chance to win Bluetooth headphones or earbuds! No Pur Nec 18+ Ends 12/23 @JamSpeaker https://t.co/iJ9p9HGolJ,vague,pur
1,RT @iConnectIM: The Q2 winner will receive a PUR Baby White Vertical Faucet Mount and Filter  Replacement Filters plus @Pampers and wipes. ƒ,vague,pur
1,Win $500 VISA card https://t.co/NgyqIdgCAM  #sweepstakes,vague,visa
1,RT @CClipinista: Win a Gift Basket _ $50 Visa Gift Card  $25 Fandango Gift Card  $25 Red Lobster Gift Card + More! http://t.co/ECWJGn7ccm,vague,visa
1,Check out @GorillaGlue for a chance to win a $250 Visa Gift Card! https://t.co/oDgTb5TIlE #GorillaTough,vague,visa
1,Win a $200 Visa Gift Card From the Snag Free Samples Giveaway of the month! https://t.co/x7lBdN2Llc @SnagFreesamples,vague,visa
1,RT @GurlDotCom: #Tweetstakes!! Win Frostblood and a $100 Visa gift card. Follow and tweet #frostbloodgurl to enter! Details: https://t.co/bƒ,vague,visa
1,Maybe I'm a snob but I preferred Amex & NM cards only RT @HoustonGalleria: As of 11/1/2011 Neiman Marcus began accepting MasterCard & Visa!,vague,visa
1,Hey! @Studiowars is giving away a $50 Visa Cash Card. Sign up is Free! #FantasyMovieLeague  http://t.co/aQKwUm4M,vague,visa
